"material","value","passage"
"W23Mo23V17Cr8Ta7Fe22",785,"Processing and characterization of W23Mo23V17Cr8Ta7Fe22 and WMoVCrTa refractory high entropy alloys. At 1000 °C, the yield strength was 785 MPa at a strain of 5.06% and the ultimate strength was 818 MPa at a strain of 5.7%. At 1200 °C, the yield strength increased to 941 MPa at a strain of 7.25% and the ultimate strength was 964 MPa at a strain of 8.3%."
"AlMo0.5NbTa0.5TiZr and Al0.4Hf0.6NbTaTiZr RHEAs",2000,"Microstructures and mechanical properties of (MoNbTa)6TixVy (x + y = 4) multi-component alloys. In addition to the traditional HEAs, the refractory high-entropy alloys may have better high temperature properties because most of the elements used for this alloys are metallic elements with higher melting point. The effect of Al content on the microstructures and properties of refractory high entropy alloys was studied by O. N. Senkov et al., and it is found that AlMo0.5NbTa0.5TiZr and Al0.4Hf0.6NbTaTiZr RHEAs exhibit extremely high strength at room temperature, with the compressive yield strength reaching more than 2000 MPa [15]."
"TZM (MT104)",620,"Microstructure and mechanical properties of multi-phase reinforced Hf-Mo-Nb-Ti-Zr refractory high-entropy alloys. Mo1.5Nb1.5Hf0.3Zr0.5Ti1.5C0.2B0.1Si0.1 alloy has the best plasticity, its compressive strain is 25.13%. Compared with the commercially power-metallurgy processed TZM (MT104), which has the compressive yield strength of 620 MPa at the room temperature, these high entropy alloys exhibit higher compressive yield strength [34]."
"TZM (MT104)",620,"Microstructure and mechanical properties of multi-phase reinforced Hf-Mo-Nb-Ti-Zr refractory high-entropy alloys. Compared with the commercially power-metallurgy processed TZM (MT104), which has the compressive yield strength of 620 MPa at the room temperature, these high entropy alloys exhibit higher compressive yield strength [34]. In addition, the compressive yield strength of five multi-phase reinforced Hf-Mo-Nb-Ti-Zr refractory high-entropy alloys is also higher than that of CNTs-reinforced TZM composites which have yield strength of 587 MPa after being milled for 25 h [35] and have a wide range of applications in high temperature."
"CNTs-reinforced TZM composites",587,"Microstructure and mechanical properties of multi-phase reinforced Hf-Mo-Nb-Ti-Zr refractory high-entropy alloys. Compared with the commercially power-metallurgy processed TZM (MT104), which has the compressive yield strength of 620 MPa at the room temperature, these high entropy alloys exhibit higher compressive yield strength [34]. In addition, the compressive yield strength of five multi-phase reinforced Hf-Mo-Nb-Ti-Zr refractory high-entropy alloys is also higher than that of CNTs-reinforced TZM composites which have yield strength of 587 MPa after being milled for 25 h [35] and have a wide range of applications in high temperature."
"WMoTaNb alloy",405,"Microstructure and mechanical properties of multi-phase reinforced Hf-Mo-Nb-Ti-Zr refractory high-entropy alloys. Refractory high entropy alloys show superior mechanical properties at high temperature and can be used at higher temperature than nickel-based superalloy [20–23]. For example, the WMoTaNb alloy exhibits an ideal high yield strength of 405 MPa at 1600 °C [11]."
"Al0.2",1570.74,"Microstructure and mechanical properties of lightweight Al x CrNbTiV(x = 0.2, 0.5, 0.8) refractory high entropy alloys. The deformability of the Al x CrNbTiV RHEAs get enhanced at 1000 °C, but also result in considerable softening at such a high temperature. The yield stress of Al0.2 is 1570.74 MPa at room temperature, and decrease to 139.13 MPa at1000 °C."
"Al0.2CrNbTiV",1570,"Microstructure and mechanical properties of lightweight Al x CrNbTiV(x = 0.2, 0.5, 0.8) refractory high entropy alloys. (4) The Al x CrNbTiV RHEAs demonstrate high compression strength at room temperatures, increase of Al concentration results in a complete loss in ductility. Due to simultaneous dislocation motion and development of kink bands, Al0.2CrNbTiV exhibits good combination of strength and ductility with compression yield strength of 1570 MPa and ε>50%, and excellent specific yield strength (246 MPa·cm^(3)/g)."
"Al0.2CrNbTiV",1570,"Microstructure and mechanical properties of lightweight Al x CrNbTiV(x = 0.2, 0.5, 0.8) refractory high entropy alloys. The Al x CrNbTiV RHEAs demonstrate high compression strength at room temperatures, increase of Al concentration results in a complete loss in ductility. Due to simultaneous dislocation motion and development of kink bands, Al0.2CrNbTiV exhibits good combination of strength and ductility with compression yield strength of 1570 MPa and ε>50%, and excellent specific yield strength (246 MPa·cm^(3)/g)."
"Al0.2",1570,"Microstructure and mechanical properties of lightweight Al x CrNbTiV(x = 0.2, 0.5, 0.8) refractory high entropy alloys. Al0.5 and Al0.8 alloy are brittle with more Al dissolved, and fracture in the elastic region of the stress-strain curves. Whereas Al0.2 exhibits good combination of strength and ductility, which can be plastically deformed with no fracture occurred after a height reduction of 50%, and the yield strength was 1570 MPa."
"Al0.5CrNbTi2V0.5 RHEA (Room Temperature)",1240,"Microstructure and mechanical properties of lightweight Al x CrNbTiV(x = 0.2, 0.5, 0.8) refractory high entropy alloys. Although some alloys could possess high ductility and strength in compression through the design of chemincal composition, their strength was usually too low for the potential high-temperature application. For instance, the single bcc phase structured Al0.5CrNbTi2V0.5 RHEA had a good combination of strength and ductility at room temperature, with yield strength of 1240 MPa and no fracture occurred after 50% compression, but the yield strength quickly decreased to 910, 445 and 90 MPa with an increase in temperature to 600, 800 and 1000 °C [22]."
"AlNbTiV",1020,"Microstructure and mechanical properties of lightweight Al x CrNbTiV(x = 0.2, 0.5, 0.8) refractory high entropy alloys. Stepanov [13] produced single-phase AlNbTiV alloy with low density of 5.590 g·cm^(-3), with yield strength of 1020 MPa and 685 MPa at room temperature and 800 °C, respectively. Liu [14] prepared AlNb2TiV, which had low density (~6.19 g·cm^(-3)), excellent specific yield strength (167 MPa·cm^(3)/g) and good deformability (strain >1.0 in compression)."
"AlNbTiV (room temperature)",1020,"Microstructure and mechanical properties of lightweight Al x CrNbTiV(x = 0.2, 0.5, 0.8) refractory high entropy alloys. In order to make a further control of the density and price of RHEAs, lightweight and cheaper elements like Al, Si were introduced, element V, B was also in consideration [11,12]. Stepanov [13] produced single-phase AlNbTiV alloy with low density of 5.590 g·cm^(-3), with yield strength of 1020 MPa and 685 MPa at room temperature and 800 °C, respectively."
"Ta20Nb20Hf20Zr20Ti20",929,"Microstructure and mechanical properties of lightweight Al x CrNbTiV(x = 0.2, 0.5, 0.8) refractory high entropy alloys. For instance, the fracture strain of Ti35Zr27.5Hf27.5Nb5Ta5 could reach 23% with ultimate tensile strength of 995 MPa [8]. Ta20Nb20Hf20Zr20Ti20 has ductility ɛ > 50% and compression yield stress σ0.2 = 929 MPa [9]."
"NbTaW0.5Hf0.25C0.25",792,"Microstructure and mechanical properties of lightweight Al x CrNbTiV(x = 0.2, 0.5, 0.8) refractory high entropy alloys. RHEAs could possess high stress at high temperature ascribed to their extremely high melting points, and making them promising for high-temperature applications, whereas alloys usually suffered a substantial decrease in strength above 0.6Tm (Tm represents the melting point). Wu [5] reported NbTaW0.5Hf0.25C0.25 can remain ultra-high yield strength of 792 MPa and 749 MPa at 1473 K and 1673 K."
"AlNb2TiV",167,"Microstructure and mechanical properties of lightweight Al x CrNbTiV(x = 0.2, 0.5, 0.8) refractory high entropy alloys. Stepanov [13] produced single-phase AlNbTiV alloy with low density of 5.590 g·cm^(-3), with yield strength of 1020 MPa and 685 MPa at room temperature and 800 °C, respectively. Liu [14] prepared AlNb2TiV, which had low density (~6.19 g·cm^(-3)), excellent specific yield strength (167 MPa·cm^(3)/g) and good deformability (strain >1.0 in compression)."
"NbMoTaWVCr RHEA",3416,"Latest progress on refractory high entropy alloys: Composition, fabrication, post processing, performance, simulation and prospect. In another work, ultrafine-grained NbMoTaWVCr RHEA was fabricated by mechanical alloying and spark plasma sintering[62]. The precipitation of (CrV)2TaNb and TaVO6 occurred after sintering of the ball-milled powders with a single supersaturated bcc structure, contributing to a high compressive yield strength of 3416 MPa and a deformation strain of 5.3%."
"Nb42Mo20Ti13Cr12V12Ta1 RHEA",2680,"Latest progress on refractory high entropy alloys: Composition, fabrication, post processing, performance, simulation and prospect. The precipitation of (CrV)2TaNb and TaVO6 occurred after sintering of the ball-milled powders with a single supersaturated bcc structure, contributing to a high compressive yield strength of 3416 MPa and a deformation strain of 5.3%. By the same fabrication routes, a high Nb-containing Nb42Mo20Ti13Cr12V12Ta1 RHEA with an average grain size of 347 nm was reported, with the microstructure of TiC precipitates embedded in the bcc solid solution matrix, which exhibited a high yield strength of 2680 MPa and a fracture strain of 5.2% [63]."
"Mo0.5VNbTiCr2.0",2311,"Latest progress on refractory high entropy alloys: Composition, fabrication, post processing, performance, simulation and prospect. The effect of HIP at 1200^(o)C and 150 MPa for 2 h followed by annealing at 1200^(o)C for 72 h on the microstructure and mechanical properties of the as-cast Mo0.5VNbTiCrx (x = 0-2.0) RHEAs were investigated [121]. It was revealed that a structural change from a single bcc solid solution into bcc plus C15 Laves phase, and the obtained Mo0.5VNbTiCr2.0 exhibited a high yield strength of 2311 MPa with transgranular fracture."
"Mo0.5VNbTiCr2.0",2311,"Latest progress on refractory high entropy alloys: Composition, fabrication, post processing, performance, simulation and prospect. It was revealed that a structural change from a single bcc solid solution into bcc plus C15 Laves phase, and the obtained Mo0.5VNbTiCr2.0 exhibited a high yield strength of 2311 MPa with transgranular fracture. More severe deformation of the cast RHEA of TiZrTa was realized from HIP at 1400^(o)C and 207 MPa for 3 h under Ar atmosphere, which resulted in metastable phase constituents of two bcc phases and omega-phase nanoprecipitates and twins in the matrix, contributing to a high yield strength of 1671 MPa, superior to the 975 MPa for the cast TiZrNb alloy [122]."
"TiNbTa0.5ZrAl0.5",1740,"Latest progress on refractory high entropy alloys: Composition, fabrication, post processing, performance, simulation and prospect. Specifically, the hot forging processing resulted in the precipitation of an hcp structured (Zr, Al)-rich phase in the bcc matrix. The as-forged TiNbTa0.5ZrAl0.5 exhibited a high yield strength of 1740 MPa with a deformation strain of 12%; further annealing of TiNbTa0.5Al0.5 at 1000^(o)C at 2 h contributed to high compressive strength of 1740 MPa and deformation strain of 20%."
